City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
Ucluelet,48.9329,-125.5528,46.0,93,90,34.45,CA,1609880661
Vanavara,60.34,102.2797,-8.84,90,100,5.73,RU,1609880665
Mehamn,71.0357,27.8492,35.6,93,0,14.99,NO,1609880439
Basco,20.4487,121.9702,73.9,82,100,27.07,PH,1609880665
Solton,52.8429,86.4787,-10.17,84,0,7.16,RU,1609880665
Pandan,14.0453,124.1694,78.8,85,15,13.56,PH,1609880666
Luján,-34.5703,-59.105,73.0,88,100,12.57,AR,1609880666
Torgau,51.5667,13.0,35.01,100,90,3.36,DE,1609880666
Sola,-13.8833,167.55,82.47,78,100,12.97,VU,1609880484
Akdepe,42.0551,59.3788,8.6,65,0,4.7,TM,1609880666
Souillac,-20.5167,57.5167,77.0,83,40,10.29,MU,1609880398
Fomboni,-12.28,43.7425,83.35,72,0,9.82,KM,1609880666
Ludvika,60.1496,15.1878,24.8,92,87,5.82,SE,1609880666
Marquette,46.5333,-87.6335,37.99,68,92,3.0,US,1609880454
Banepā,27.6298,85.5214,50.0,87,75,2.24,NP,1609880667
Mutoko,-17.397,32.2268,68.09,78,10,0.76,ZW,1609880365
Pisco,-13.7,-76.2167,78.8,61,0,17.22,PE,1609880598
Ahipara,-35.1667,173.1667,72.25,61,97,1.23,NZ,1609880379
Vila Franca do Campo,37.7167,-25.4333,55.4,87,75,20.8,PT,1609880502
Caniço,32.6333,-16.85,62.6,82,40,2.24,PT,1609880667
Mayo,38.8876,-76.5119,41.0,86,90,7.4,US,1609880667
Hong Kong,22.2855,114.1577,62.01,78,77,11.81,HK,1609880281
Nieves,15.3274,120.9485,75.2,88,75,2.24,PH,1609880668
Kharp,66.8014,65.8081,-10.93,89,57,4.61,RU,1609880501
Husavik,66.0449,-17.3389,32.0,92,40,2.24,IS,1609880376
Ajdabiya,30.7554,20.2263,57.15,48,100,6.73,LY,1609880668
Sur,22.5667,59.5289,66.15,43,0,7.7,OM,1609880361
Kariba,-16.5167,28.8,74.5,80,61,3.06,ZW,1609880668
Constitución,-35.3333,-72.4167,64.49,57,5,14.41,CL,1609880156
Leningradskiy,69.3833,178.4167,-9.65,88,100,14.72,RU,1609880400
Formosa do Rio Preto,-11.0483,-45.1931,82.26,50,0,2.77,BR,1609880669
Narsaq,60.9167,-46.05,24.8,49,20,5.82,GL,1609880449
Dicabisagan,17.0818,122.4157,75.09,87,53,6.96,PH,1609880669
Yerbogachën,61.2767,108.0108,-19.89,87,100,8.25,RU,1609880385
Bethanien,-26.502,17.1583,71.74,60,86,11.18,NA,1609880669
Portland,45.5234,-122.6762,50.0,70,90,12.75,US,1609880167
Naryan-Mar,67.6713,53.087,-3.57,92,77,9.71,RU,1609880475
Marsá Maţrūḩ,31.3525,27.2453,57.2,82,75,9.17,EG,1609880670
Port-Cartier,50.0334,-66.8654,25.0,85,99,4.7,CA,1609880670
New Norfolk,-42.7826,147.0587,60.01,62,73,1.99,AU,1609880356
Nyurba,63.2842,118.3319,-25.51,84,100,8.41,RU,1609880415
Prieska,-29.6641,22.7474,75.7,60,96,1.95,ZA,1609880670
Banda Aceh,5.5577,95.3222,78.85,78,66,12.88,ID,1609880432
Kolosovka,56.4678,73.611,-16.92,86,98,6.78,RU,1609880671
Iqaluit,63.7506,-68.5145,0.0,84,90,4.7,CA,1609880353
Namatanai,-3.6667,152.4333,76.05,90,100,4.72,PG,1609880498
Vila Velha,-20.3297,-40.2925,82.4,69,20,14.99,BR,1609880208
Tupã,-21.9347,-50.5136,84.09,58,99,8.77,BR,1609880440
Taree,-31.9,152.4667,73.0,100,75,5.82,AU,1609880440
Santo Tomas,14.1079,121.1414,77.0,83,20,4.7,PH,1609880672
Orsha,54.5153,30.4053,30.94,95,100,9.78,BY,1609880392
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,84.0,57,69,3.0,AR,1609880672
Palora,-1.7,-77.9333,66.2,93,90,3.36,EC,1609880672
Sijunjung,-0.6876,100.9537,71.01,90,34,1.07,ID,1609880487
Itaituba,-4.2761,-55.9836,78.8,83,40,6.93,BR,1609880672
Saint-François,46.4154,3.9054,34.0,86,90,3.36,FR,1609880672
Guaratuba,-25.8828,-48.5747,82.4,78,75,5.82,BR,1609880673
Charters Towers,-20.1,146.2667,73.9,92,100,13.56,AU,1609880673
Palma di Montechiaro,37.1926,13.765,46.99,82,100,1.01,IT,1609880673
Kununurra,-15.7667,128.7333,80.6,100,70,6.85,AU,1609880360
Samarai,-10.6167,150.6667,83.32,80,100,9.46,PG,1609880395
La Ronge,55.1001,-105.2842,17.6,85,100,11.41,CA,1609880358
Nuuk,64.1835,-51.7216,28.4,92,75,28.86,GL,1609880356
Fare,-16.7,-151.0167,81.3,72,63,10.47,PF,1609880673
Kruisfontein,-34.0033,24.7314,70.0,84,62,1.01,ZA,1609880415
Follonica,42.9263,10.7616,46.99,84,64,4.03,IT,1609880674
Pampa,35.5362,-100.9599,62.6,25,1,28.86,US,1609880674
Diego de Almagro,-26.3667,-70.05,78.94,25,0,14.23,CL,1609880488
Asău,46.4333,26.4,41.0,70,100,5.86,RO,1609880387
Huilong,31.8111,121.655,41.0,73,77,11.48,CN,1609880674
Unaí,-16.3575,-46.9061,78.57,78,100,0.36,BR,1609880674
Acarí,-15.4311,-74.6158,77.43,58,90,9.84,PE,1609880674
Olafsvik,64.8945,-23.7142,35.92,79,73,16.49,IS,1609880675
Serowe,-22.3833,26.7167,74.16,55,78,5.1,BW,1609880675
Mount Isa,-20.7333,139.5,80.6,32,20,11.41,AU,1609880452
Batemans Bay,-35.7167,150.1833,64.99,98,24,5.79,AU,1609880417
Rairangpur,22.2676,86.1751,63.05,51,57,3.94,IN,1609880675
Puksoozero,62.5903,40.6066,9.43,96,86,4.45,RU,1609880675
São Domingos do Maranhão,-5.5758,-44.3853,79.18,81,18,1.63,BR,1609880675
Adré,13.4667,22.2,70.47,20,0,13.78,TD,1609880676
Kharan,28.5833,65.4167,40.87,57,0,3.58,PK,1609880676
Shingū,33.7333,135.9833,39.92,75,100,7.02,JP,1609880380
Kampot,10.6167,104.1833,78.8,69,40,5.82,KH,1609880676
Santa Catarina de Tepehuanes,25.35,-105.7333,70.05,20,100,12.37,MX,1609880676
Mitsamiouli,-11.3847,43.2844,82.18,74,12,9.86,KM,1609880676
Zemio,5.0314,25.1361,73.83,39,10,2.48,CF,1609880676
Bairiki Village,1.3292,172.9752,82.4,74,20,12.75,KI,1609880547
Sovetskiy,61.3614,63.5842,-14.08,90,100,5.41,RU,1609880492
Areosa,41.7178,-8.8571,41.0,86,0,7.7,PT,1609880677
Dolinsk,47.35,142.8,-18.4,75,40,4.47,RU,1609880677
Avera,33.194,-82.5271,62.6,36,40,11.41,US,1609880359
Lorengau,-2.0226,147.2712,83.53,75,72,8.28,PG,1609880354
Kyren,51.6828,102.1408,-14.01,75,93,0.58,RU,1609880678
Port Moresby,-9.4431,147.1797,78.24,85,86,3.78,PG,1609880678
Kandrian,-6.2167,149.55,79.86,83,98,3.56,PG,1609880678
Broken Hill,-31.95,141.4333,59.0,67,71,16.11,AU,1609880678
Casablanca,33.5928,-7.6192,59.0,100,75,21.92,MA,1609880570
Ust'-Kishert',57.3654,57.2495,8.71,94,83,9.1,RU,1609880678
Villablino,42.9393,-6.3194,30.99,88,75,3.18,ES,1609880678
Esperance,-33.8667,121.9,53.6,76,49,5.82,AU,1609880378
Skerries,53.5828,-6.1083,41.0,93,40,10.29,IE,1609880679
Weiser,44.251,-116.9693,44.6,56,1,5.82,US,1609880679
Batken,39.8333,71.0,11.25,64,69,5.21,KG,1609880679
Tabas,33.5959,56.9244,35.6,40,0,4.7,IR,1609880604
Kirakira,-10.4544,161.9205,83.66,66,91,5.03,SB,1609880679
Maragogi,-9.0122,-35.2225,78.82,70,13,7.61,BR,1609880484
Jumla,29.2747,82.1838,38.55,71,71,4.88,NP,1609880680
São José dos Pinhais,-25.5347,-49.2064,80.6,54,75,8.05,BR,1609880536
Rodrigues Alves,-7.738,-72.6509,86.0,70,75,6.93,BR,1609880495
Mackay,-21.15,149.2,77.0,94,90,6.93,AU,1609880558
Båtsfjord,70.6345,29.7185,33.8,85,75,21.92,NO,1609880680
Olutanga,7.3106,122.8464,80.37,80,78,8.95,PH,1609880680
Arrifes,37.7667,-25.7,55.4,87,75,20.8,PT,1609880680
Sotnikovo,51.8845,107.4791,-20.2,75,75,2.71,RU,1609880602
Ussel,45.55,2.3167,30.99,43,96,2.84,FR,1609880681
Tura,25.5198,90.2201,61.75,54,100,2.06,IN,1609880398
Provincia di Imperia,43.9667,7.7833,42.8,75,40,11.41,IT,1609880681
Kiama,-34.6833,150.8667,69.01,96,90,3.0,AU,1609880681
Gumdag,39.2061,54.5906,32.29,88,48,17.47,TM,1609880681
Camapuã,-19.5314,-54.0439,84.56,63,90,4.9,BR,1609880681
Lensk,60.7253,114.9278,-24.05,80,100,13.4,RU,1609880681
Fort Saint James,54.4333,-124.25,28.83,95,100,12.91,CA,1609880681
Arrondissement de Limoges,45.75,1.3333,30.99,100,90,4.7,FR,1609880682
Dalvik,65.9702,-18.5286,32.0,91,40,2.24,IS,1609880682
Altay,47.8667,88.1167,-1.98,59,0,5.12,CN,1609880682
Tshikapa,-6.4167,20.8,71.85,89,85,1.68,CD,1609880550
Hasaki,35.7333,140.8333,39.0,93,75,8.05,JP,1609880358
Pangai,-19.8,-174.35,82.4,94,75,11.41,TO,1609880682
Pakxan,18.3778,103.6601,59.85,82,63,4.76,LA,1609880682
Mukhtolovo,55.4644,43.1953,25.38,97,100,7.76,RU,1609880682
Velsk,61.0701,42.0983,13.46,97,90,3.98,RU,1609880683
Taldan,53.6667,124.8,-28.77,80,46,5.26,RU,1609880683
Savannah Bight,16.45,-85.85,81.0,74,75,9.8,HN,1609880646
Kirkenes,69.7271,30.0458,23.0,85,75,20.8,NO,1609880683
Ayr,55.4627,-4.6339,30.2,92,20,3.36,GB,1609880683
Vicksburg,32.3526,-90.8779,62.6,36,1,5.82,US,1609880683
Kropotkin,45.4375,40.5756,35.69,83,74,7.7,RU,1609880550
Tazovsky,67.4667,78.7,-13.65,88,41,12.41,RU,1609880683
Atasū,48.6814,71.6433,-0.71,85,41,6.55,KZ,1609880683
Papagaios,-19.4492,-44.7478,77.79,75,58,0.45,BR,1609880494
Pacific Grove,36.6177,-121.9166,59.0,62,1,3.36,US,1609880220
Srīsailain,16.0833,78.8667,67.46,95,90,3.89,IN,1609880684
